Census ID,Centroid Longitude,Centroid Latitude,Traffic fatalities,Licensed drivers (thousands),Registered vehicles (thousands),Vehicle-miles traveled (millions),Miles traveled per vehicle,Fatalities per 100K licensed drivers,Fatalities per 100K registered vehicles,Fatalities per 100M vehicle-miles traveled,Fatalities involving high blood alcohol,Percent Alcohol-Related,Total Population,Urban Population,Rural Population,Pct Urban Population,State
1,-86.9206,32.282672,1154,3613.138,4588.837,59035,12864.9154458962,31.938995964173,25.1479841188519,1.95477259252986,394,34.1421143847487,4447100,2465539,1981561,55.4415012030312,Alabama
22,-91.336153,30.714212,904,3169.627,3822.639,44607,11669.1636327678,28.520706064152,23.6485841325848,2.02658775528504,345,38.1637168141593,4468976,3246994,1221982,72.6563311147789,Louisiana
27,-94.101406,46.776507,567,3083.007,4782.252,56570,11829.1549671577,18.3911356672236,11.8563388127602,1.00229803782924,170,29.9823633156966,4919479,3489319,1430160,70.9286288243125,Minnesota
4,-112.0705,34.345101,1150,3783.927,3985.162,57336,14387.3699488252,30.3917068167541,28.8570452092035,2.00572066415516,376,32.695652173913,5130632,4523513,607119,88.1667794532915,Arizona
24,-77.02885,39.047751,643,3594.251,4192.508,55284,13186.3791315365,17.889679936098,15.3368818854967,1.16308516026337,231,35.9253499222395,5296486,4558448,738038,86.0655158911021,Maryland
55,-89.749798,44.982996,792,3910.188,4937.877,60399,12231.7749105537,20.2547805885548,16.0392816588992,1.31127998807927,318,40.1515151515151,5363675,3665137,1698538,68.3325704857211,Wisconsin
29,-92.230655,38.311173,1130,4047.652,4889.615,68994,14110.3133886819,27.9174197781825,23.1102039731144,1.63782357886193,388,34.3362831858407,5595211,3881133,1714078,69.3652661177568,Missouri
47,-86.20886,35.896927,1288,4247.884,5143.321,70943,13793.2281496722,30.3209786331265,25.0421857784105,1.81554205488914,454,35.2484472049689,5689283,3618968,2070315,63.6102651247969,Tennessee
53,-121.422916,47.590362,563,4504.581,5695.463,55673,9774.97351839526,12.4983877523792,9.88506114428274,1.01126219172669,223,39.6092362344583,5894121,4832415,1061706,81.9870341989925,Washington
18,-86.577065,39.448159,947,4521.329,5678.318,72713,12805.3765217094,20.9451689978765,16.6774738575754,1.30238059219122,254,26.8215417106653,6080485,4303180,1777305,70.7703415105867,Indiana
25,-71.14129,41.994891,476,4645.857,5593.154,54771,9792.50705415943,10.2456877170348,8.51040396885192,0.869073049606544,181,38.0252100840336,6349097,5803451,545646,91.4059274885862,Massachusetts
51,-78.949416,37.546013,925,5112.523,6572.883,78877,12000.365745138,18.0928281398441,14.0729722406439,1.17271194391267,307,33.1891891891892,7078515,5166427,1912088,72.9874415749631,Virginia
37,-79.052731,35.627245,1557,6122.137,6298.836,95903,15225.5115072055,25.432295945027,24.7188528166156,1.62351542704608,496,31.8561335902376,8049313,4847075,3202238,60.2172508386741,North Carolina
13,-83.086436,32.580268,1634,5793.143,8011.804,112620,14056.7592517241,28.2057598094851,20.3949073142578,1.45089682116853,450,27.5397796817625,8186453,5866567,2319886,71.6618906869679,Georgia
34,-74.716337,40.172888,731,5799.532,6374.167,72844,11428.0030629885,12.6044653258228,11.4681651735827,1.00351435945308,227,31.0533515731874,8414350,7938850,475500,94.3489396091201,New Jersey
26,-85.908551,45.199633,1159,7103.404,8627.477,103326,11976.3866075795,16.3161211160171,13.4338231211744,1.12169250721019,367,31.665228645384,9938444,7419524,2518920,74.6547849945122,Michigan
39,-82.662996,40.217482,1286,7675.007,10934.942,111654,10210.7537470249,16.7556850436749,11.7604647560088,1.15177243985885,418,32.5038880248834,11353140,8780237,2572903,77.3375207211397,Ohio
42,-77.503957,40.937516,1490,8430.142,10113.463,108070,10685.7562043783,17.6746726211729,14.7328368136612,1.37873600444157,541,36.3087248322148,12281054,9461086,2819968,77.0380620425576,Pennsylvania
17,-89.198,39.742374,1356,8057.683,9507.663,109135,11478.6357067978,16.8286590574486,14.2621798858458,1.24249782379622,517,38.1268436578171,12419293,10910332,1508961,87.8498639173744,Illinois
12,-82.848294,28.391421,3244,13146.357,15519.408,196444,12657.9570560939,24.6760376277626,20.9028591812265,1.65136120217467,1053,32.4599260172626,15982378,14274392,1707986,89.313317455012,Florida
36,-75.282885,42.53788,1493,11246.675,11268.933,137898,12237.0059348121,13.2750346213436,13.2488142399995,1.08268430289054,494,33.0877427997321,18976457,16601126,2375331,87.4827477015335,New York
48,-99.209698,30.515779,3583,14543.528,17193.706,231008,13435.6141718371,24.6363880896025,20.8390209766295,1.55102853580828,1417,39.5478649176668,20851820,17204073,3647747,82.5063375762883,Texas
6,-119.663274,36.822283,4120,22761.088,32026.125,328917,10270.2715361287,18.10106792786,12.8644973439653,1.25259563962945,1367,33.1796116504854,33871648,31994895,1876753,94.4592214704168,California
